62.160051,89.370172,61.530103 
62.508108,87.827734,60.335722 
62.869541,86.266832,59.136253 
63.244564,84.686225,57.930669 
63.633440,83.084575,56.717895 
64.036480,81.460435,55.496795 
64.454051,79.812229,54.266160 
64.886581,78.138235,53.024696 
65.334569,76.436568,51.771017 
65.798588,74.705145,50.503613 
66.279303,72.941662,49.220845 
66.777475,71.143551,47.920906 
67.293984,69.307937,46.601801 
67.829846,67.431580,45.261306 
68.386240,65.510800,43.896920 
68.964537,63.541395,42.505812 
69.566338,61.518522,41.084740 
70.193530,59.436546,39.629956 
70.848353,57.288851,38.137084 
71.533493,55.067575,36.600948 
72.252203,52.763248,35.015331 
73.008489,50.364294,33.372663 
73.807353,47.856305,31.663538 
74.655176,45.220957,29.876013 
75.560311,42.434339,27.994530 
76.534026,39.464218,25.998124 
77.592164,36.265330,23.857374 
78.758223,32.770523,21.528626 
80.069806,28.872294,18.941980 
81.594370,24.377589,15.971839 
